ASCII Name;Population;LABEL EN;Classification
Santa;0;Peru;Small City
General La Madrid;0;Argentina;Small City
Posic;0;Peru;Small City
Junin;0;Argentina;Small City
La Esmeralda;0;Peru;Small City
Huarmaca;0;Peru;Small City
Casma;0;Peru;Small City
Santo Domingo;0;Peru;Small City
Miramar;0;Argentina;Small City
Navarro;0;Argentina;Small City
Moho;0;Peru;Small City
Managru;0;Colombia;Small City
Montalvo;0;Ecuador;Small City
Los Santos;0;Colombia;Small City
La Capilla;0;Colombia;Small City
Buenavista;0;Colombia;Small City
Providencia;0;Colombia;Small City
Piamonte;0;Colombia;Small City
San Juanito;0;Colombia;Small City
Puerto Lleras;0;Colombia;Small City
Ticrapo;0;Peru;Small City
Santa Clara;0;Ecuador;Small City
Yamparaez;0;Bolivia;Small City
Magdalena;0;Peru;Small City
Antilla;0;Cuba;Small City
Buey Arriba;0;Cuba;Small City
Masons Bay;0;Bahamas;Small City
Valdivia;0;Colombia;Small City
Cerro Iglesia;0;Panama;Small City
Maripasoula;0;French Guiana;Small City
San Jorge;0;Guatemala;Small City
Lucanas;0;Peru;Small City
Chillia;0;Peru;Small City
Huanza;0;Peru;Small City
El Corozo;0;Venezuela, Bolivarian Rep. of;Small City
Churcampa;0;Peru;Small City
San Jose de Guaribe;0;Venezuela, Bolivarian Rep. of;Small City
Chuquibambilla;0;Peru;Small City
Barbacoas;0;Venezuela, Bolivarian Rep. of;Small City
Rio Caribe;0;Venezuela, Bolivarian Rep. of;Small City
Tocuyito;0;Venezuela, Bolivarian Rep. of;Small City
Andahuaylillas;0;Peru;Small City
Ahuac;0;Peru;Small City
El Real;0;Venezuela, Bolivarian Rep. of;Small City
Naiguata;0;Venezuela, Bolivarian Rep. of;Small City
Jacura;0;Venezuela, Bolivarian Rep. of;Small City
El Toro;0;Venezuela, Bolivarian Rep. of;Small City
Chalhuanca;0;Peru;Small City
Chasquitambo;0;Peru;Small City
Hato Juli;0;Panama;Small City
Aucara;0;Peru;Small City
Sacanche;0;Peru;Small City
San Pedro del Norte;0;Nicaragua;Small City
Nanahuatipam;0;Mexico;Small City
Gomez Farias;0;Mexico;Small City
Mocupe;0;Peru;Small City
Villa La Mata;0;Dominican Republic;Small City
Habana;0;Peru;Small City
Tacabamba;0;Peru;Small City
Aimogasta;0;Argentina;Small City
Florentino Ameghino;0;Argentina;Small City
Yauli;0;Peru;Small City
Paso de Indios;0;Argentina;Small City
Uripa;0;Peru;Small City
Tomay Kichwa;0;Peru;Small City
Sanogasta;0;Argentina;Small City
Quinua;0;Peru;Small City
Caspisapa;0;Peru;Small City
Quebrada Honda;0;Peru;Small City
Santa Maia de Pantasma;0;Nicaragua;Small City
La Dalia;0;Nicaragua;Small City
Boraceia;0;Brazil;Small City
Wilfrido Loor Moreira;0;Ecuador;Small City
Calzada;0;Peru;Small City
Ciudad de Atlixco;0;Mexico;Small City
La Chinantla;0;Mexico;Small City
Conchucos;0;Peru;Small City
Villanueva;0;Nicaragua;Small City
Norteno;0;Panama;Small City
Mulukuku;0;Nicaragua;Small City
Namballe;0;Peru;Small City
San Pablo;0;Peru;Small City
Sojo;0;Peru;Small City
Los Corotues;0;Panama;Small City
Las Ollas Arriba;0;Panama;Small City
La Boca del Guasimo;0;Panama;Small City
Cascabel;0;Panama;Small City
Esquipulas;0;Nicaragua;Small City
Sao Sebastiao de Lagoa de Roca;0;Brazil;Small City
Pinamar;0;Argentina;Small City
Lari;0;Peru;Small City
General Las Heras;0;Argentina;Small City
Trenque Lauquen;0;Argentina;Small City
Rivadavia;0;Argentina;Small City
Monte Hermoso;0;Argentina;Small City
Melincue;0;Argentina;Small City
Banda del Rio Sali;0;Argentina;Small City
Rincon de Los Sauces;0;Argentina;Small City
Roque Perez;0;Argentina;Small City
Pueblo Nuevo El Chivo;0;Venezuela, Bolivarian Rep. of;Small City
San Isidro;0;Nicaragua;Small City
El Cua;0;Nicaragua;Small City
Kukra Hill;0;Nicaragua;Small City
San Luis;0;Venezuela, Bolivarian Rep. of;Small City
Torunos;0;Venezuela, Bolivarian Rep. of;Small City
Sano;0;Peru;Small City
Yanahuanca;0;Peru;Small City
San Nicolas;0;Nicaragua;Small City
Lircay;0;Peru;Small City
Bandera;0;Argentina;Small City
El Carmen;0;Argentina;Small City
La Pampa;0;Peru;Small City
Rauch;0;Argentina;Small City
Huayllay;0;Peru;Small City
Curbarado;0;Colombia;Small City
Curahuasi;0;Peru;Small City
San Sebastian de Buenavista;0;Colombia;Small City
Cangallo;0;Peru;Small City
Cerrillos;0;Argentina;Small City
Cabanaconde;0;Peru;Small City
La Plata;0;Venezuela, Bolivarian Rep. of;Small City
Las Mercedes;0;Venezuela, Bolivarian Rep. of;Small City
San Roque;0;Argentina;Small City
Baradero;0;Argentina;Small City
Olta;0;Argentina;Small City
Nueva Esperanza;0;Argentina;Small City
La Banda;0;Argentina;Small City
Campo Elias;0;Venezuela, Bolivarian Rep. of;Small City
San Pedro de Lovago;0;Nicaragua;Small City
Macapo;0;Venezuela, Bolivarian Rep. of;Small City
Palmasola;0;Venezuela, Bolivarian Rep. of;Small City
Independencia;0;Peru;Small City
Baguanos;0;Cuba;Small City
Huayllabamba;0;Peru;Small City
Huancarqui;0;Peru;Small City
Cruz Blanca;0;Peru;Small City
Chipao;0;Peru;Small City
Carabayllo;0;Peru;Small City
San Fernando;0;Colombia;Small City
Majagua;0;Cuba;Small City
Melena del Sur;0;Cuba;Small City
Pilon;0;Cuba;Small City
Acoria;0;Peru;Small City
Sunuapa;0;Mexico;Small City
Aguada;0;Colombia;Small City
Girardota;0;Colombia;Small City
Lamay;0;Peru;Small City
Locroja;0;Peru;Small City
Margos;0;Peru;Small City
Cayo Mambi;0;Cuba;Small City
San Simon;0;Venezuela, Bolivarian Rep. of;Small City
Santa Cruz de Bucaral;0;Venezuela, Bolivarian Rep. of;Small City
Yuracyacu;0;Peru;Small City
Uracoa;0;Venezuela, Bolivarian Rep. of;Small City
Salas;0;Peru;Small City
Quivilla;0;Peru;Small City
Pomalca;0;Peru;Small City
San Antonio;0;Panama;Small City
Urumaco;0;Venezuela, Bolivarian Rep. of;Small City
Jangas;0;Peru;Small City
Betijoque;0;Venezuela, Bolivarian Rep. of;Small City
Calderas;0;Venezuela, Bolivarian Rep. of;Small City
El Palmar;0;Venezuela, Bolivarian Rep. of;Small City
Guaraque;0;Venezuela, Bolivarian Rep. of;Small City
Pedraza La Vieja;0;Venezuela, Bolivarian Rep. of;Small City
Pregonero;0;Venezuela, Bolivarian Rep. of;Small City
Taisha;0;Ecuador;Small City
Guachene;0;Colombia;Small City
Animas;0;Colombia;Small City
El Dorado;0;Colombia;Small City
Santa Barbara de Pinto;0;Colombia;Small City
Huacrapuquio;0;Peru;Small City
Cotahuasi;0;Peru;Small City
Coporaque;0;Peru;Small City
San Rafael;0;Peru;Small City
La Victoria;0;Colombia;Small City
San Jose de Ure;0;Colombia;Small City
Putre;0;Chile;Small City
Bagua;0;Peru;Small City
Monitos;0;Colombia;Small City
Colcamar;0;Peru;Small City
Bejuco;0;Costa Rica;Small City
Guerra;0;Dominican Republic;Small City
Cube;0;Ecuador;Small City
Gonzalo Pizarro;0;Ecuador;Small City
Saladillo;0;Argentina;Small City
Chavinillo;0;Peru;Small City
El Espinal;0;Panama;Small City
Huamali;0;Peru;Small City
Condoroma;0;Peru;Small City
Villanueva;0;Colombia;Small City
Santa Isabel;0;Colombia;Small City
Calimita;0;Colombia;Small City
Saravena;0;Colombia;Small City
Indiana;0;Peru;Small City
Taurija;0;Peru;Small City
Ajoyani;0;Peru;Small City
Palcamayo;0;Peru;Small City
Paccha;0;Peru;Small City
Huanchaco;0;Peru;Small City
Encanada;0;Peru;Small City
Chilete;0;Peru;Small City
Cancas;0;Peru;Small City
Totos;0;Peru;Small City
Chupa;0;Peru;Small City
Colca;0;Peru;Small City
Chala;0;Peru;Small City
Pilon;0;Panama;Small City
Llano Grande;0;Panama;Small City
Carache;0;Venezuela, Bolivarian Rep. of;Small City
Guaranda;0;Colombia;Small City
Cuipo;0;Panama;Small City
Puerto Caicedo;0;Colombia;Small City
Manalich;0;Cuba;Small City
Casserengue;0;Brazil;Small City
Suipacha;0;Argentina;Small City
Empedrado;0;Argentina;Small City
La Palma;0;Colombia;Small City
Caseros;0;Argentina;Small City
Pozo Hondo;0;Argentina;Small City
Patquia;0;Argentina;Small City
Maipu;0;Argentina;Small City
La Vina;0;Argentina;Small City
Damiao;0;Brazil;Small City
La Paz;0;Argentina;Small City
Villa Tulumaya;0;Argentina;Small City
Tumbaya;0;Argentina;Small City
El Limon;0;Panama;Small City
Tuchin;0;Colombia;Small City
Betania;0;Panama;Small City
Aucayacu;0;Peru;Small City
Siquinala;0;Guatemala;Small City
Pomata;0;Peru;Small City
Pampa Cangallo;0;Peru;Small City
Mara;0;Peru;Small City
Cabana;0;Peru;Small City
Huacar;0;Peru;Small City
Vallenar;0;Chile;Small City
Lajas;0;Peru;Small City
Canta;0;Peru;Small City
Ancahuasi;0;Peru;Small City
Pomahuaca;0;Peru;Small City
Shucushuyacu;0;Peru;Small City
Sihuas;0;Peru;Small City
Rambala;0;Panama;Small City
Otaez;0;Mexico;Small City
Pebas;0;Peru;Small City
Ensenada;0;Argentina;Small City
El Piro;0;Panama;Small City
Sausa;0;Peru;Small City
Mariabe;0;Panama;Small City
Potrero de Cana;0;Panama;Small City
La Trinidad;0;Nicaragua;Small City
Balleza;0;Mexico;Small City
Teorama;0;Colombia;Small City
Diego Martin;0;Trinidad and Tobago;Small City
Arismendi;0;Venezuela, Bolivarian Rep. of;Small City
Checker Hall;0;Barbados;Small City
Covenas;0;Colombia;Small City
Samana;0;Colombia;Small City
San Pablo;0;Costa Rica;Small City
San Juan y Martinez;0;Cuba;Small City
Carlos Manuel de Cespedes;0;Cuba;Small City
Canape Capatarida;0;Venezuela, Bolivarian Rep. of;Small City
Rodeio;0;Brazil;Small City
Waslala;0;Nicaragua;Small City
Solita;0;Colombia;Small City
Llata;0;Peru;Small City
Alberti;0;Argentina;Small City
Malarguee;0;Argentina;Small City
Tunapuy;0;Venezuela, Bolivarian Rep. of;Small City
Santa Maria de Caparo;0;Venezuela, Bolivarian Rep. of;Small City
Ocumare de la Costa;0;Venezuela, Bolivarian Rep. of;Small City
La Union;0;Venezuela, Bolivarian Rep. of;Small City
Capitolio;0;Brazil;Small City
La Luz;0;Venezuela, Bolivarian Rep. of;Small City
Ciudad De Nutrias;0;Venezuela, Bolivarian Rep. of;Small City
Famatina;0;Argentina;Small City
Guanay;0;Bolivia;Small City
Triunfo Potiguar;0;Brazil;Small City
Campo Limpo Paulista;0;Brazil;Small City
General Belgrano;0;Argentina;Small City
Tama;0;Argentina;Small City
Santa Rosa;0;Argentina;Small City
Salliquelo;0;Argentina;Small City
Milagro;0;Argentina;Small City
Cotoca;0;Bolivia;Small City
Villa Union;0;Argentina;Small City
La Candelaria;0;Argentina;Small City
Gobernador Gregores;0;Argentina;Small City
Surcubamba;0;Peru;Small City
Coronte;0;Panama;Small City
Cujillo;0;Peru;Small City
La Caleta Culebras;0;Peru;Small City
Santa Rosa;0;Peru;Small City
Mendoza;0;Peru;Small City
Iparia;0;Peru;Small City
Pueblo Nuevo;0;Peru;Small City
La Arena;0;Peru;Small City
El Parco District;0;Peru;Small City
Marcara District;0;Peru;Small City
Chao;0;Peru;Small City
Sunampe;0;Peru;Small City
Santa Teresa;0;Peru;Small City
San Pedro;0;Peru;Small City
Pucusana;0;Peru;Small City
Huacaybamba;0;Peru;Small City
Tamanco;0;Peru;Small City
Pitumarca;0;Peru;Small City
Llalli;0;Peru;Small City
Fort Wellington;0;Guyana;Small City
Huariaca;0;Peru;Small City
Goyllarisquizga;0;Peru;Small City
Corire;0;Peru;Small City
Chavina;0;Peru;Small City
Santa Fe;0;Bolivia;Small City
Fray Bartolome de Las Casas;0;Guatemala;Small City
Ocongate;0;Peru;Small City
Aplao;0;Peru;Small City
San Casimiro;0;Venezuela, Bolivarian Rep. of;Small City
Sierra Imataca;0;Venezuela, Bolivarian Rep. of;Small City
Quero;0;Ecuador;Small City
Ccorca;0;Peru;Small City
Chicla;0;Peru;Small City
Laramate;0;Peru;Small City
Limbani;0;Peru;Small City
Tocopero;0;Venezuela, Bolivarian Rep. of;Small City
Muquiyauyo;0;Peru;Small City
Maras;0;Peru;Small City
Huaro;0;Peru;Small City
Coronel Pringles;0;Argentina;Small City
Porvenir;0;Chile;Small City
Pueblo Nuevo;0;Colombia;Small City
Algarrobo;0;Colombia;Small City
Chepigana;0;Panama;Small City
Union;0;Guatemala;Small City
Santa Rita;0;Panama;Small City
Cuchillo Co;0;Argentina;Small City
Boca de Sabalos;0;Nicaragua;Small City
El Pilar;0;Venezuela, Bolivarian Rep. of;Small City
El Canton;0;Venezuela, Bolivarian Rep. of;Small City
Capitanejo;0;Venezuela, Bolivarian Rep. of;Small City
Arauquita;0;Venezuela, Bolivarian Rep. of;Small City
Aragua;0;Venezuela, Bolivarian Rep. of;Small City
Santa Rita;0;Venezuela, Bolivarian Rep. of;Small City
Cordero;0;Venezuela, Bolivarian Rep. of;Small City
La Yuca;0;Venezuela, Bolivarian Rep. of;Small City
La Curva;0;Peru;Small City
La Merced;0;Argentina;Small City
Valle Grande;0;Argentina;Small City
Huanoquite;0;Peru;Small City
Gorgor;0;Peru;Small City
Cabecera de Cerro Puerco;0;Panama;Small City
El Carmen;0;Peru;Small City
Jingurudo;0;Panama;Small City
Cieneguilla;0;Peru;Small City
Callalli;0;Peru;Small City
San Isidro;0;Argentina;Small City
Cerro Iglesia;0;Panama;Small City
Juazeiro do Piaui;0;Brazil;Small City
Nova Olina do Marnhao;0;Brazil;Small City
San Miguel del Monte;0;Argentina;Small City
San Ignacio;0;Argentina;Small City
San Cayetano;0;Argentina;Small City
Magdalena;0;Argentina;Small City
General Conesa;0;Argentina;Small City
Ananea;0;Peru;Small City
Cerro Silvestre;0;Panama;Small City
Palca;0;Peru;Small City
Santa Eulalia;0;Peru;Small City
Concepcion;0;Argentina;Small City
Accha;0;Peru;Small City
Punos;0;Peru;Small City
Buenos Aires;0;Peru;Small City
Bolivar;0;Peru;Small City
San Juan de Manapiare;0;Venezuela, Bolivarian Rep. of;Small City
Paraiso de Chabasquen;0;Venezuela, Bolivarian Rep. of;Small City
Pehuajo;0;Argentina;Small City
Guayabal;0;Venezuela, Bolivarian Rep. of;Small City
Arapuey;0;Venezuela, Bolivarian Rep. of;Small City
Bocas de Satinga;0;Colombia;Small City
Anori;0;Colombia;Small City
San Jose del Fragua;0;Colombia;Small City
Rionegro;0;Colombia;Small City
La Apartada;0;Colombia;Small City
Logradouro;0;Brazil;Small City
Caripe;0;Venezuela, Bolivarian Rep. of;Small City
Regina;0;French Guiana;Small City
Vedia;0;Argentina;Small City
Eldorado;0;Argentina;Small City
El Simbolar;0;Argentina;Small City
Jamalca;0;Peru;Small City
La Jalca;0;Peru;Small City
Las Palmas;0;Peru;Small City
Chore;0;Paraguay;Small City
San Antonio del Golfo;0;Venezuela, Bolivarian Rep. of;Small City
Maroa;0;Venezuela, Bolivarian Rep. of;Small City
Benito Juarez;0;Argentina;Small City
Bum Bum;0;Venezuela, Bolivarian Rep. of;Small City
El Playon;0;Venezuela, Bolivarian Rep. of;Small City
Sauce;0;Argentina;Small City
Nuevo Progreso;0;Peru;Small City
Santa Ana;0;Argentina;Small City
Montero;0;Peru;Small City
Lobos;0;Argentina;Small City
Loberia;0;Argentina;Small City
Altamira;0;Venezuela, Bolivarian Rep. of;Small City
San Francisco;0;Peru;Small City
Recuay;0;Peru;Small City
El Puerto;0;Panama;Small City
Pucacaca;0;Peru;Small City
Moro;0;Peru;Small City
Bruzual;0;Venezuela, Bolivarian Rep. of;Small City
Masparrito;0;Venezuela, Bolivarian Rep. of;Small City
Piritu;0;Venezuela, Bolivarian Rep. of;Small City
San Francisco de Yare;0;Venezuela, Bolivarian Rep. of;Small City
Yaracal;0;Venezuela, Bolivarian Rep. of;Small City
Santa Rosa;0;Peru;Small City
Cahuac;0;Peru;Small City
Nueva Requena;0;Peru;Small City
Ventanilla;0;Peru;Small City
Caricuao;0;Venezuela, Bolivarian Rep. of;Small City
Taraco;0;Peru;Small City
Tapo;0;Peru;Small City
Tamburco;0;Peru;Small City
San Juan;0;Peru;Small City
Breu;0;Peru;Small City
Tayabamba;0;Peru;Small City
Delicias;0;Venezuela, Bolivarian Rep. of;Small City
Los Guayos;0;Venezuela, Bolivarian Rep. of;Small City
Llano Culebra;0;Panama;Small City
Salto Dupi;0;Panama;Small City
Soyaltepec;0;Mexico;Small City
Salud;0;Panama;Small City
San Juan Mixtepec;0;Mexico;Small City
San Juan Mixtepec;0;Mexico;Small City
Pena Blanca;0;Panama;Small City
Onoto;0;Venezuela, Bolivarian Rep. of;Small City
Palo Grande;0;Panama;Small City
San Carlos de Bolivar;0;Argentina;Small City
Ayacucho;0;Argentina;Small City
Capilla del Senor;0;Argentina;Small City
Gatu;0;Panama;Small City
Hard Bargain;0;Bahamas;Small City
Algodao de Jandaira;0;Brazil;Small City
Bom Principio do Piaui;0;Brazil;Small City
Rojas;0;Argentina;Small City
Jaramillo Arriba;0;Panama;Small City
Bolivia;0;Cuba;Small City
Seboruco;0;Venezuela, Bolivarian Rep. of;Small City
Lopez;0;Colombia;Small City
Caruru;0;Colombia;Small City
Dulce Nombre de Jesus;0;Costa Rica;Small City
San Antonio del Sur;0;Cuba;Small City
Palenque;0;Cuba;Small City
Francisco Dantas;0;Brazil;Small City
Caicara do Norte;0;Brazil;Small City
Teixeira de Freitas;0;Brazil;Small City
Sigefredo Pacheco;0;Brazil;Small City
El Espinillo;0;Argentina;Small City
Colon;0;Argentina;Small City
Villa Santa Rosa;0;Argentina;Small City
Villa Castelli;0;Argentina;Small City
Tamberias;0;Argentina;Small City
Iruya;0;Argentina;Small City
Acobamba;0;Peru;Small City
Isnos;0;Colombia;Small City
Lopez;0;Mexico;Small City
Yuto;0;Colombia;Small City
El Guayabito;0;Mexico;Small City
Gomez Farias;0;Mexico;Small City
Curgos;0;Peru;Small City
Chirinos;0;Peru;Small City
Yanque;0;Peru;Small City
Alpujarra;0;Colombia;Small City
La Esperanza;0;Colombia;Small City
Herrera;0;Argentina;Small City
Tambo;0;Peru;Small City
Paz de Ariporo;0;Colombia;Small City
Orurillo;0;Peru;Small City
Pueblo Bello;0;Colombia;Small City
Chinchero;0;Peru;Small City
Quickstep;0;Jamaica;Small City
Yucuyachi;0;Mexico;Small City
Santa Isabel;0;Colombia;Small City
San Pedro;0;Peru;Small City
Guachipas;0;Argentina;Small City
Garza;0;Argentina;Small City
La Colonia;0;Argentina;Small City
Santa Helena del Opon;0;Colombia;Small City
La Sacilia;0;Peru;Small City
Santa Maria;0;Colombia;Small City
Sarhua;0;Peru;Small City
San Andres de Sotavento;0;Colombia;Small City
Chanaral;0;Chile;Small City
Pocollay;0;Peru;Small City
Santa Lucia;0;Cuba;Small City
Ocona;0;Peru;Small City
Chameta;0;Venezuela, Bolivarian Rep. of;Small City
Ichuna;0;Peru;Small City
Huancabamba;0;Peru;Small City
El Tambo;0;Peru;Small City
Chuschi;0;Peru;Small City
Characato;0;Peru;Small City
Mariguitar;0;Venezuela, Bolivarian Rep. of;Small City
San Sebastian;0;Venezuela, Bolivarian Rep. of;Small City
Malpaisillo;0;Nicaragua;Small City
Corongo;0;Peru;Small City
La Esperanza;0;Peru;Small City
Aminga;0;Argentina;Small City
Soloy;0;Panama;Small City
Los Valles;0;Panama;Small City
Belen;0;Argentina;Small City
El Cuy;0;Argentina;Small City
La Poma;0;Argentina;Small City
Monte Quemado;0;Argentina;Small City
La Palma;0;Cuba;Small City
Guernica;0;Argentina;Small City
Nogoya;0;Argentina;Small City
Pila;0;Argentina;Small City
Tarica;0;Peru;Small City
San Lorenzo;0;Peru;Small City
Andamarca;0;Bolivia;Small City
Piscoyacu;0;Peru;Small City
Gaspar;0;Cuba;Small City
Leandro N. Alem;0;Argentina;Small City
San Diego;0;Venezuela, Bolivarian Rep. of;Small City
Sardinilla;0;Panama;Small City
Santa Isabel;0;Peru;Small City
Chontabamba;0;Peru;Small City
Huancarama;0;Peru;Small City
Pampa Hermosa;0;Peru;Small City
Olleros;0;Peru;Small City
Miraflores;0;Peru;Small City
Leticia;0;Peru;Small City
Sabandia;0;Peru;Small City
Pazos;0;Peru;Small City
San Mateo;0;Peru;Small City
Frias;0;Peru;Small City
Lluchubamba;0;Peru;Small City
Huamanguilla;0;Peru;Small City
Cusipata;0;Peru;Small City
Coya;0;Peru;Small City
Pacaipampa;0;Peru;Small City
